proposalId,priority,huvCode,huvName,targetRuleType,completeness,procedureCodes,diagnosisCodes,proposedFields,officialSources,officialQuotes,existingRelation,qualityFlags,decision,decisionNotes
engine_proposal_0deb278ee9140b549079115c,A,30.14809,Fetal kandan kromozom analizi,sure,complete,30.14809,,"{""adet"":6,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G100020"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Altı ayda bir adet faturalandırılır.,new,official_source_locator_or_quote_missing,pending,
engine_proposal_4458a4edca384ab45bfb34b2,A,30.18511,Kromozomal kırık sendromları ve mutajenite çalışmaları için kromozom analizi,birlikteOdenmez,complete,30.18511|30.19745,,"{""evrakBazliMi"":true,""sourceSutCode"":""G100050"",""targetSutCodes"":[""G100060""]}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,G100060 ile birlikte faturalandırılmaz.,new,,pending,
engine_proposal_1cc783492552e7e920a64412,A,30.18511,Kromozomal kırık sendromları ve mutajenite çalışmaları için kromozom analizi,sure,complete,30.18511,,"{""adet"":6,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G100050"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Altı ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_c7da93753e1d4d4d4679d15e,A,30.19745,Periferik kandan kromozom analizi,birlikteOdenmez,complete,30.19745|30.18511,,"{""evrakBazliMi"":true,""sourceSutCode"":""G100060"",""targetSutCodes"":[""G100050""]}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,G100050 ile birlikte faturalandırılmaz.,new,,pending,
engine_proposal_de9a3ed0a025a682b8959beb,A,30.19745,Periferik kandan kromozom analizi,sure,complete,30.19745,,"{""adet"":6,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G100060"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Altı ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_70398dde2921c78ca77996f6,A,30.28691,"ROS1 (6q22), (FISH), (iki bölgeye kadar, translokasyon, delesyon)",sure,complete,30.28691,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G100286"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_f692c208889bb5cdc6c5a4aa,A,30.29000,t(9;22) (q34;q11.2) (BCR/ ABL) (Philadelphia Kromozomu) (FISH),sure,complete,30.29000,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G100120"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_4c82cde642fa0634598215e8,A,30.29308,t(9;22) (q34;q11.2) (BCR/ ABL) (Philadelphia Kromozomu) (REAL - TIME PCR),sure,complete,30.29308,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G100120"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_ee78408902d03da407c5b4ff,A,30.42574,MPL W515L ve MPL W515K (MPL W515L/K) (REAL - TIME PCR),sure,complete,30.42574,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G101730"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_5f063301e4aa2a619ee9b587,A,30.93799,"NRAS mutasyon analizi (kodon 12, 13, 61, 146 mutasyonları)",sure,complete,30.93799,,"{""adet"":3,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G101952"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Üç ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_9787d745036d9cb084173fcf,A,30.95019,PDGFRA (Ekzon 12 ve 18 mutasyonları),sure,complete,30.95019,,"{""adet"":3,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G101570"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Üç ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_988b9a5f3fbb5f9defeed070,A,30.96253,EGFR (Ekzon 18-19-20 ve 21 mutasyonları),sure,complete,30.96253,,"{""adet"":3,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G101900"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Üç ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_5c0c531dcd1ed5ae1cd352fb,A,30.98741,"BRAF (tek nokta mutasyonu), RT-PCR test",sure,complete,30.98741,,"{""adet"":3,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G101890"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Üç ayda bir adet faturalandırılır.,new,,pending,
engine_proposal_4bfd8bdde2f6442c47625304,A,34.26577,D-dimer (kalitatif),birlikteOdenmez,complete,34.26577|34.26728,,"{""evrakBazliMi"":true,""sourceSutCode"":""L102080"",""targetSutCodes"":[""L102090""]}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,L102090 ile birlikte faturalandırılmaz.,new,official_source_locator_or_quote_missing,pending,
engine_proposal_a214db1dc115c0e318aae98a,A,34.26728,D-dimer (kantitatif),birlikteOdenmez,complete,34.26728|34.26577,,"{""evrakBazliMi"":true,""sourceSutCode"":""L102090"",""targetSutCodes"":[""L102080""]}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,L102080 ile birlikte faturalandırılmaz.,new,official_source_locator_or_quote_missing,pending,
engine_proposal_5ce493b490741ef68f335af4,A,34.52700,"Kan gazları ve elektrolit (pH, pCO2, pO2, O2 satürasyonu, HCO3, Na, K, Cl, Laktat) ölçümü ve takibi, günlük",sure,complete,34.52700,,"{""adet"":3,""islemlerGrupMu"":false,""periyotDeger"":1,""surePeriyot"":""G""}",HUV_06052025.xlsx,"İşlem, en az 5 parametrenin bulunduğu herhangi bir kombinasyonu veya tümünü kapsar ve bakıldığı bölüm veya birime bakılmaksızın bir hastada günde en fazla üç kez ücretlendirilir. Kan gazı takibi, işleme dahildir.",new,,pending,
engine_proposal_253a622ed4feec88ef108296,A,34.61609,"Kültür, parazit (leishmania, trichomonas, entamoeba histolytica), her biri",birlikteOdenmez,complete,34.61609|06.03936,,"{""evrakBazliMi"":true,""sourceSutCode"":""700290"",""targetSutCodes"":[""700060""]}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,700060 ile birlikte faturalandırılmaz.,new,,pending,
engine_proposal_3677731bf40a4ec48c5b28dd,A,34.63874,Lenfosit alt grupları (immünfenotiplendirme),sure,complete,34.63874,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""L105010"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Ayrıntılı sonuç raporu ile bir adet faturalandırılır.,new,,pending,
engine_proposal_0082445f976c54b4270938aa,B,02.03401,"Enjeksiyon, intravenöz , evde",birlikteOdenmez,partial,02.03401,,"{""evrakBazliMi"":true,""sourceSutCode"":""530150"",""targetSutCodes"":[""530080"",""530160""]}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,"Günde üç adetten fazla ve 530080, 530160 ile birlikte faturalandırılmaz.",new,"source_crosswalk_not_trusted|unresolved_target_sut_codes:530080,530160",pending,
engine_proposal_9d92e6f1fe7aeec537f1f821,B,02.03401,"Enjeksiyon, intravenöz , evde",sure,complete,02.03401,,"{""adet"":3,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""530150"",""surePeriyot"":""G""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,"Günde üç adetten fazla ve 530080, 530160 ile birlikte faturalandırılmaz.",new,source_crosswalk_not_trusted,pending,
engine_proposal_a0ebe017b7b286325e5b92f5,B,02.03401,"Enjeksiyon, intravenöz , evde",sure,partial,02.03401,,"{""sourceSutCode"":""530150""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,"Günde üç adetten fazla ve 530080, 530160 ile birlikte faturalandırılmaz.",new,frequency_period_or_limit_incomplete|source_crosswalk_not_trusted,pending,
engine_proposal_182ef00d68eb830a7033a652,B,03.98744,Peroperatif transözafageal epiaortik ultrasonografi ile aortanın değerlendirilmesi,sure,partial,03.98744,,{},HUV_06052025.xlsx,"ALGOLOJİ/AĞRI TEDAVİSİ UYGULAMALARI - 03.42608: Bilgisayarlı Tomografi (BT), Magnetik Rezonans (MRG), Ultrasonografi (USG), Skopi gibi özel görüntüleme rehberliğinde yapılan algoloji uygulamalarında, (işlemin tanımında, ilgili bölümde veya genel ilkelerde özel/farklı bir birimle tanımlı değilse) radyoloji işlemi birimi, algoloji işlemi birimine eklenir. Girişimsel Ağrı Tedavisi uygulamalarında asistanlık hizmeti için, Genel İlkeler Bölümünde tanımlı olan asistan birimleri uygulanır. Ağrı tedavisi amacı ile birden çok (çoklu) girişimsel algolojik işlem uygulanan hastalarda, aynı/farklı bölgede/alanda, aynı seansta uygulanan algolojik işlemlerin tümü (faset eklem median sinir RFT, DRG pRFT, disk dekompresyonu, eklem, faset, disk, kas, tendon, sinir, ganglion enjeksiyonu/bloğu, vb), işlemlerin cinsine/türüne ve uygulamanın aynı/farklı bölge veya alan olduğuna bakmaksızın, (işlem tanımında aksine açıklama yoksa veya yapılan tüm işlemi kapsayan paket tanım yoksa) farklı kesiden yapılan işle",new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_6b8035ab33227b289cca900e,B,06.01575,"Deri ve mukoza smear`leri, direkt",sure,partial,06.01575,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_2fbc436121f6014cb6d02c73,B,06.03936,"Deri ve mukoza smear`leri (giemsa, wright, gram vb)",sure,partial,06.03936,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_253d8e4c6b935db67e119516,B,06.07871,Demodeks/sarkopt aranması,sure,partial,06.07871,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_046dd3d76a3c4a78f8f1a906,B,06.08264,Cilde tutunmuş kene vb. böcek (arachnida) çıkarılması,sure,partial,06.08264,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_6af67f4c9628af3a48435017,B,06.11019,Bilgisayarlı dermatoskopi (tüm vücut ben haritasının çıkarılması),sure,partial,06.11019,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_1c6a6c16fc85f60b90f75e41,B,06.40925,"İlaç ve gıdalarla provokasyon testi, her biri",sure,partial,06.40925,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_e5203381a02421e9ef8f2370,B,06.41712,Otolog serum testi,sure,partial,06.41712,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_daef083d09ccb29f258c3803,B,06.44073,"Foto-deri yama testi, madde başına",sure,partial,06.44073,,{},HUV_06052025.xlsx,DERMATOLOJİ - 06.00001: Lazer uygulamalarında (listede bulunmayan işlem ve birim varsa) Plastik ve Rekonstrüktif Cerrahi listesi geçerlidir. Bu uygulamalarda alan ölçüsü belirtilmemişse Küçük: 20 cm2’ den küçük Orta: 20-50 cm2 Büyük: 50 cm2`den büyükalan olarak uygulanır.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_534938dd5851e5c5de488527,B,07.01587,Sıcak-soğuk paket uygulaması,sure,partial,07.01587,,{},HUV_06052025.xlsx,"YÜZEYEL SOĞUK-SICAK UYGULAMALARI - 07.00794: Bu başlık kapsamında bulunan tüm işlemler, (ayaktan hastalarda) tek bölgede günde en fazla bir seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla birer seans olarak uygulanır ve ücretlendirilir. Bu başlık kapsamında bulunan tüm işlemler, yatarak tedavi alan hastalarda tek bölgede günde en fazla iki seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla ikişer seans olarak uygulanır ve ücretlendirilir.",new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_1c36021c2d5e3defe83e29e1,B,07.02380,İnfraruj,sure,partial,07.02380,,{},HUV_06052025.xlsx,"YÜZEYEL SOĞUK-SICAK UYGULAMALARI - 07.00794: Bu başlık kapsamında bulunan tüm işlemler, (ayaktan hastalarda) tek bölgede günde en fazla bir seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla birer seans olarak uygulanır ve ücretlendirilir. Bu başlık kapsamında bulunan tüm işlemler, yatarak tedavi alan hastalarda tek bölgede günde en fazla iki seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla ikişer seans olarak uygulanır ve ücretlendirilir.",new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_16eeb70d2b785ae6fe8f781a,B,07.08724,"Ekstrakorporeal şok dalga tedavisi (ESWT), seansı",sure,partial,07.08724,,{},HUV_06052025.xlsx,"İşlem, bir bölgede/organda yılda en fazla 6 seans uygulama ile ücretlendirilir.",new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_ca6fdc59a240e81fe4ab81a6,B,07.11103,"Alçak ve orta frekanslı akımlar (galvani, faradi, tens, diadinami, interferans, vb), her biri",sure,partial,07.11103,,{},HUV_06052025.xlsx,"ELEKTROTERAPİ - 07.10310: Bu başlık kapsamında bulunan tüm işlemler, (ayaktan hastalarda) tek bölgede günde en fazla bir seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla birer seans olarak uygulanır ve ücretlendirilir. Bu başlık kapsamında bulunan tüm işlemler, yatarak tedavi alan hastalarda tek bölgede günde en fazla iki seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla ikişer seans olarak uygulanır ve ücretlendirilir.",new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_fc142aba7cb7eb4fd74b4161,B,07.12292,"Yüksek Yoğunluklu Lazer tedavisi (HIL Terapi, vb), seansı",sure,partial,07.12292,,{},HUV_06052025.xlsx,"Bir bölge için en fazla 10 seans ücretlendirilir.ELEKTROTERAPİ - 07.10310: Bu başlık kapsamında bulunan tüm işlemler, (ayaktan hastalarda) tek bölgede günde en fazla bir seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla birer seans olarak uygulanır ve ücretlendirilir. Bu başlık kapsamında bulunan tüm işlemler, yatarak tedavi alan hastalarda tek bölgede günde en fazla iki seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla ikişer seans olarak uygulanır ve ücretlendirilir.",new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_5b5dc6044ee0ee7b1c8c0b16,B,07.12689,Vakum ile elektroterapi,sure,partial,07.12689,,{},HUV_06052025.xlsx,"ELEKTROTERAPİ - 07.10310: Bu başlık kapsamında bulunan tüm işlemler, (ayaktan hastalarda) tek bölgede günde en fazla bir seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla birer seans olarak uygulanır ve ücretlendirilir. Bu başlık kapsamında bulunan tüm işlemler, yatarak tedavi alan hastalarda tek bölgede günde en fazla iki seans, farklı bölgelerde (endikasyonu var ise) her bir bölgede günde en fazla ikişer seans olarak uygulanır ve ücretlendirilir.",new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_68432d4cb62d291e8ebea393,B,07.19826,"Çalkantılı su banyosu (Hubard tank, whirlpool)",sure,partial,07.19826,,{},HUV_06052025.xlsx,Bu ekipmanların veya sistemlerin kurulu olduğu merkezlerde ücretlendirilir.,new,explicit_frequency_fields_not_parsed,pending,
engine_proposal_326524ca0ebeb62b918cebcc,B,07.20619,Havuz tedavisi,sure,partial,07.20619,,{},HUV_06052025.xlsx,Bu ekipmanların veya sistemlerin kurulu olduğu merkezlerde ücretlendirilir.,new,explicit_frequency_fields_not_parsed,pending,
