"request_id","rank","code","code_type","lookup_status","clinical_theme","review_rows","top3_diagnosis_share","review_reduction_potential","source_risk_level","source_recommended_action","medgemma_status","clinical_plausibility","diagnosis_cohort_safety","mapping_assessment","confidence","eligible_for_human_expert_fast_track","recommended_triage","merged_triage_category","supported_prefixes","prefixes_to_keep_review","missing_evidence","risk_notes","reasoning_summary","human_admin_approval_present","apply_ready","auto_apply"
"rr_medgemma_0011_906750","11","906750","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","490","0.98778004","medium","medium","manual_review_policy_observation","completed","plausible","keep_manual_review","not_needed","0.95","False","keep_manual_review_observation","keep_manual_review_observation","R68;F06;Z10;J45;N39;E03;Z33;R60;E55","R68;F06;Z10;J45;N39","Detailed clinical context for specific diagnoses (e.g., F06.6, J45, N39.0).;Confirmation of the primary reason for the encounter/diagnosis.;Information on the patient's overall health status and comorbidities.","The high concentration of 'R' codes (Symptoms/findings) suggests potential diagnostic uncertainty or focus on symptom management rather than definitive diagnosis. Manual review is crucial to ensure appropriate care pathways.;The presence of mental/behavioral codes (F06.6) requires careful consideration of the clinical context and potential impact on other diagnoses and treatment.;The inclusion of Z codes (Factors/status) necessitates understanding their relevance to the primary clinical problem.;The specificity level is high, but the clinical context is missing. This could lead to misinterpretation or inappropriate application without human oversight.","The aggregate diagnosis distribution is heavily skewed towards 'R' codes (Symptoms/findings), specifically R68 (Other specified symptoms and signs involving the musculoskeletal system), which constitutes 97.1% of the top diagnoses. While the top diagnoses are clinically plausible in an obstetric context (e.g., back pain, musculoskeletal issues), the lack of specific clinical context makes it difficult to assess the appropriateness of these codes without manual review. The high concentration of symptom codes warrants caution. The other diagnoses (F06.6, Z10.1, J45, N39.0, E03, Z33, R60, E55.9) are present but in much smaller numbers. The mapping assessment is 'not_needed' as the SUT code lookup was successful and the codes are present in the rules. The confidence is high due to the clear dominance of R68 and the successful lookup. However, the clinical context is missing, making it difficult to fully assess plausibility without human review. Therefore, keeping manual review observation is recommended.","False","False","False"
"rr_medgemma_0012_13_74706","12","13.74706","huv_or_local_dotted","missing_from_runtime_lookup","obstetric_pregnancy","482","0.76480541","medium","medium_high","resolve_local_huv_mapping_then_policy_refinement","completed","plausible","conditional_only","mapping_required_first","0.85","False","mapping_backlog_first","mapping_backlog_before_policy","Z33;Z36;Z34","Z33;Z36;Z34","Runtime lookup failed; canonical mapping is unknown.","The top diagnoses are primarily Z codes related to pregnancy/childbirth status and encounters. While plausible, the specific code 13.74706 (huv_or_local_dotted) is missing from the runtime lookup, preventing direct policy application. The distribution is concentrated, but the lack of a canonical mapping necessitates caution.","The diagnosis distribution is clinically coherent, dominated by Z codes related to pregnancy status (Z33, Z36, Z34). The top diagnoses account for a significant portion (76.5%) of the review rows. However, the code 13.74706 is missing from the runtime lookup. Therefore, direct review reduction is not possible. The recommended action is to first establish the canonical mapping for this local/HUV code before considering policy refinement or review reduction. This approach ensures that the policy accurately reflects the intended clinical context and avoids unintended consequences due to mapping ambiguity.","False","False","False"
"rr_medgemma_0013_700530","13","700530","sut_6_digit","present_in_rules_by_sut_code","cardiology_symptom_or_monitoring","373","0.56239016","medium","medium","manual_review_policy_observation","completed","plausible","conditional_only","not_needed","0.85","True","send_to_expert_priority_1","fast_track_to_human_expert_review","R07;I10;R06;R00;I25;E55;I49;R10;I20","R07;I10;R06;R00","Specificity of symptoms/findings for R07.4, R06.0, R00.2, R07.3, I25.1, E55.9, I49, R10.4, I20.;Context of I10 (Essential (primary) hypertension) - is it related to the SUT code?;Confirmation of diagnosis for less frequent codes (I25.1, E55.9, I49, R10.4, I20).","The top diagnoses are primarily symptoms/findings (R codes) and hypertension (I10).;The clinical theme is cardiology symptom or monitoring, which aligns with some diagnoses but not all (e.g., R06.0 - general symptoms, R00.2 - general symptoms).;The specificity level is medium, indicating a mix of specific and non-specific diagnoses.;The top diagnoses represent a significant portion (56%) of the review rows, but the remaining 44% are spread across 67 unique diagnoses, some with very low counts. This heterogeneity might indicate a need for careful review to ensure the SUT code is appropriate for all these conditions or if the code is being misapplied.;The diagnosis cohort includes symptoms, findings, and specific conditions. While plausible, the reliance on symptom codes requires careful consideration of the clinical context and potential for misdiagnosis or incomplete information.","The aggregate diagnosis distribution shows a concentration in symptom/finding codes (R codes) and hypertension (I10), which are plausible within a cardiology context. However, the presence of less specific codes and the overall heterogeneity across 67 unique diagnoses warrant expert review to ensure the SUT code is clinically appropriate and not being misapplied. The high confidence (0.85) and plausible clinical picture support fast-tracking for human expert review.","False","False","False"
"rr_medgemma_0014_905680","14","905680","sut_6_digit","present_in_rules_by_sut_code","non_specific_symptom_dominant","325","0.90379009","medium","medium","manual_review_policy_observation","","","","","","False","","response_invalid_manual_review_required","","","","","","False","False","False"
"rr_medgemma_0015_704530","15","704530","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","297","0.53996101","medium","medium","manual_review_policy_observation","completed","plausible","narrow_candidate","not_needed","0.9","True","send_to_expert_priority_1","fast_track_to_human_expert_review","Z33;R10;Z34;N76","Z33;R10;Z34;N76","Detailed clinical context for each diagnosis code is missing. Aggregate data provides plausibility but not specific patient details.","While the top diagnoses are plausible in the context of obstetric pregnancy, the aggregate nature prevents a full risk assessment. Specific patient factors could alter the clinical picture significantly. The 'narrow candidate' assessment is based on the prevalence of these codes within the provided dataset, not necessarily their universal applicability or safety in all obstetric scenarios.","The candidate code (704530) maps to a set of diagnoses (Z33, R10.2, Z34, R10, N76.0, R25.2, D64, D64.9, E55.9, E55) that are clinically plausible within the 'obstetric_pregnancy' theme. The top diagnoses (Z33, R10, Z34, N76) represent common scenarios or findings related to pregnancy and childbirth. The aggregate data suggests a focused cohort, making it a strong candidate for review reduction. The high confidence and narrow cohort support fast-tracking for human expert review.","False","False","False"
"rr_medgemma_0016_906630","16","906630","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","261","0.50274725","medium","medium","manual_review_policy_observation","completed","plausible","keep_manual_review","not_needed","0.85","False","keep_manual_review_observation","keep_manual_review_observation","R53;Z33;E55.9;Z34;R10.4;D64.9;D51.9;K21;K30;J30.2","R53;Z33;E55;Z34;R10","Specificity of diagnosis codes within the top diagnoses.;Context of diagnoses (e.g., inpatient vs. outpatient, specific pregnancy stage).;Prevalence of these diagnoses in the target population.","The top diagnoses are broad (e.g., R53, Z33). Manual review is needed to ensure specificity and appropriateness for the code.;The combination of diagnoses might indicate specific conditions not captured by individual codes.;Potential for misinterpretation or inappropriate application of the code without clinical context.","The aggregate diagnosis distribution (R53, Z33, E55.9, Z34, R10.4, D64.9, D51.9, K21, K30, J30.2) is plausible for obstetric pregnancy related codes, but the codes themselves are often broad or related to symptoms/findings/status. The top diagnoses cover a range of potential issues. Given the broad nature of some top diagnoses and the need for clinical context, keeping the current manual review process is recommended for observation and safety. The confidence is high due to the presence of the code in rules and the plausible distribution, but the lack of specificity warrants continued manual review.","False","False","False"
"rr_medgemma_0017_13_06366","17","13.06366","huv_or_local_dotted","missing_from_runtime_lookup","genitourinary","248","0.54448399","medium","medium_high","resolve_local_huv_mapping_then_policy_refinement","completed","plausible","conditional_only","mapping_required_first","0.85","False","mapping_backlog_first","mapping_backlog_before_policy","N86;R10;N76","N86;R10;N76","Runtime lookup failed; canonical mapping is unknown.","The top diagnoses are plausible but require mapping to a canonical code system for policy application.;The diagnosis distribution is concentrated but mapping is essential before policy refinement.","The diagnosis distribution is clinically plausible, primarily focused on genitourinary symptoms and conditions (N86, R10, N76). However, the code 13.06366 is missing from the runtime lookup, meaning its canonical mapping is unknown. Therefore, review reduction is not recommended before establishing the correct mapping. The recommended action is to prioritize mapping this local/HUV code to a canonical system.","False","False","False"
"rr_medgemma_0018_13_72696","18","13.72696","huv_or_local_dotted","missing_from_runtime_lookup","obstetric_pregnancy","243","0.60689655","medium","medium_high","resolve_local_huv_mapping_then_policy_refinement","completed","plausible","conditional_only","mapping_required_first","0.85","False","mapping_backlog_first","mapping_backlog_before_policy","Z33;O26;Z36;Z34","Z33;O26;Z36;Z34","Canonical mapping for local/HUV code 13.72696 is missing.;Policy context for the mapped code is unknown.","The diagnosis distribution is concentrated in Z codes (factors/status) and O codes (pregnancy/childbirth), which is plausible for obstetric contexts, but the specific HUV/local code requires mapping to a standard code for definitive assessment.;Without a canonical mapping, the policy implications and potential drift are unknown. Manual review is necessary after mapping.","The diagnosis distribution (Z33, O26, Z36, Z34) is clinically plausible within the obstetric context. However, the provided code (13.72696) is a local/HUV code and is missing from the runtime lookup. Therefore, a canonical mapping is required before policy refinement or review reduction can be considered. The recommended action is to prioritize mapping this code. The risk is medium-high due to the uncertainty introduced by the unmapped code.","False","False","False"
"rr_medgemma_0019_906660","19","906660","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","213","0.51394422","medium","medium","manual_review_policy_observation","completed","plausible","keep_manual_review","not_needed","0.85","False","keep_manual_review_observation","keep_manual_review_observation","R53;R68;Z33;Z01;Z02.1;D50;E03;E55.9;Z34;D76.0","R53;R68;Z33;Z01;Z02","Specificity of the code 906660 within the context of obstetric pregnancy is low. The top diagnoses are broad symptom/finding codes (R Symptoms/findings) and factors/status codes (Z Factors/status).;The clinical context for the top diagnoses (R53, R68, Z33, Z01, Z02.1, D50, E03, E55.9, Z34, D76.0) within obstetric pregnancy is not sufficiently detailed to determine if the code 906660 is clinically appropriate or necessary for these conditions.;Lack of specific clinical guidelines or evidence linking code 906660 to the top diagnoses in the context of obstetric pregnancy.","The broad nature of the top diagnoses and the lack of specific context make it difficult to assess the clinical necessity and appropriateness of code 906660.;Potential for inappropriate use of the code if the underlying clinical condition is not clearly defined or if the code is used for administrative purposes rather than clinical care.;The current evidence does not support a reduction in manual review for this code in the context of the identified diagnoses.","The top diagnoses associated with code 906660 are primarily symptom/finding codes (R codes) and factor/status codes (Z codes) related to obstetric pregnancy. While these codes are plausible in this context, the specificity level is low, and the clinical context for their application is not detailed. The current evidence suggests that the code might be used for various reasons, some of which might not require specific coding or might be related to administrative factors. Therefore, maintaining manual review is recommended to ensure appropriate clinical application and avoid potential misuse or inappropriate billing. The confidence is high due to the aggregate data showing common diagnoses, but the lack of specificity warrants continued review.","False","False","False"
"rr_medgemma_0020_703790","20","703790","sut_6_digit","present_in_rules_by_sut_code","eye_ear","212","0.50536193","medium","medium","manual_review_policy_observation","completed","plausible","narrow_candidate","not_needed","0.9","True","send_to_expert_priority_1","fast_track_to_human_expert_review","H52;H40;H04;H43;H52.4;H52.0;H47.5;H35.3;H18.3","H52;H40;H04;H43","Detailed clinical context for each diagnosis code.;Specific patient demographics or comorbidities that might influence diagnosis prevalence.;Evidence regarding the specificity of the SUT code 703790 for these diagnoses.","The top diagnoses are related to ear and hearing conditions (H codes).;The cohort appears clinically focused on these specific conditions.;Potential for misdiagnosis or overlapping conditions exists, requiring expert validation.;The specificity level is medium, suggesting potential for broader interpretation or overlap with other conditions.","The aggregate diagnosis distribution for SUT code 703790 shows a strong concentration in specific ear and hearing related ICD-10 codes (H codes), particularly H52 (hearing impairment), H40 (otitis media), H04 (otitis externa), and H43 (other ear diseases). The top diagnoses (H52.2, H40.0, H52.1, H04.1, H43.3) represent a significant portion of the total cases (over 90%). The diagnosis cohort appears clinically narrow and plausible for this SUT code. The confidence is high due to the clear concentration. Mapping is not needed as the codes are well-defined. The recommended action is to send this candidate to a human expert for priority review due to the clinical focus and potential impact.","False","False","False"
"rr_medgemma_0001_803710","21","803710","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","211","0.59202454","medium","medium","manual_review_policy_observation","completed","plausible","conditional_only","not_needed","0.85","True","send_to_expert_priority_1","fast_track_to_human_expert_review","Z33;Z34;Z35;R10;E55","Z33;Z34;Z35;R10;E55","Specific clinical context for Z33, Z34, Z35, R10, E55.9, O20.0, O41.0, R10.2, N76.0, E03.9 is needed to fully assess clinical plausibility and risk.","The diagnosis cohort includes codes related to pregnancy (O codes), symptoms/findings (R codes), and various other conditions (E, N, D, K). The clinical theme is obstetric pregnancy, but the top diagnoses span multiple chapters. The high prevalence of Z codes (factors/status) might indicate administrative or coding factors rather than direct clinical conditions, potentially masking underlying issues. The specificity level is medium, and the top diagnoses share is relatively low (59%), suggesting potential heterogeneity or incomplete representation. The presence of codes like R10 (Symptoms/findings) requires careful consideration of the clinical context.","The aggregate diagnosis distribution includes several plausible codes related to pregnancy and associated conditions (Z33, Z34, Z35, O codes, R10, E55.9). The top diagnoses cover multiple chapters (Z, O, E, R, N), indicating a broad range of potential clinical scenarios. The high confidence (0.85) and plausible clinical assessment support moving forward, but the conditional nature of the safety assessment and the need for expert review to interpret the specific context and ensure appropriate application are crucial. The diagnosis cohort is relatively narrow compared to the full spectrum of obstetric pregnancy, but the top diagnoses are clinically relevant. The mapping assessment is 'not_needed' as the code is present in the rules. The recommended action is to send this candidate to a human expert for priority review due to the potential clinical relevance and the need for nuanced interpretation.","False","False","False"
"rr_medgemma_0002_700270","22","700270","sut_6_digit","present_in_rules_by_sut_code","digestive","201","0.51155116","medium","medium","manual_review_policy_observation","completed","plausible","keep_manual_review","not_needed","0.85","False","keep_manual_review_observation","keep_manual_review_observation","B07;B34;L84;L30;L85;L81;L91;B35;R23","B07;B34;L84;L30;L85","Specificity of 'digestive' theme for codes like L84, L30, L85, L81, L91, B35, R23 is unclear without case-level data.","The top diagnoses are spread across multiple body systems (Infectious, Skin, Symptoms/findings, Neoplasms, Circulatory, Endocrine/metabolic, Digestive, Injury/poisoning). The 'digestive' theme might be too broad or weakly represented by the top codes.;The top diagnosis 'B07' (Infectious mononucleosis) is not directly related to the digestive system, although some symptoms might overlap. This could lead to misclassification.;The prevalence of skin conditions (L codes) is high. The link to 'digestive' needs careful consideration.;The 'digestive' theme is represented by 'K Digestive' chapter, but the count (3) is low compared to other chapters. This suggests the theme might not be well-represented by the top diagnoses.","The aggregate data shows a plausible link to the 'digestive' theme, but the top diagnoses span multiple systems, and the connection to 'digestive' is not strong for all top codes. The theme is plausible but requires careful monitoring due to the breadth of conditions and potential for misclassification. The top diagnoses are diverse, and the 'digestive' theme is not dominant. Therefore, keeping manual review for observation is recommended.","False","False","False"
"rr_medgemma_0003_907440","23","907440","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","199","0.68534483","medium","medium","manual_review_policy_observation","completed","plausible","narrow_candidate","not_needed","0.85","True","send_to_expert_priority_1","fast_track_to_human_expert_review","R53;Z33;E55;R10;N39;D76;R50;D50;E03;Z34","R53;Z33;E55;R10;N39","Detailed clinical context for specific diagnoses within the cohort.;Evidence regarding the prevalence and clinical significance of less common diagnoses (e.g., Z34, D76.0, R50.9, D50, E03) in the context of the primary diagnoses (R53, Z33, E55, R10, N39).;Specific evidence linking the SUT code to the observed diagnoses.","The top diagnoses (R53, Z33, E55, R10, N39) represent a range of conditions, some potentially serious (e.g., E55 - Endocrine disorders, N39 - Specific urethral disorders). While the cohort appears narrow based on the top diagnoses, the clinical significance varies.;The high concentration of 'R Symptoms/findings' codes (R53) requires careful consideration. Are these symptoms directly related to the intended clinical scenario, or are they incidental findings?;The presence of 'Z Factors/status' codes (Z33, Z34) indicates factors influencing health status or healthcare utilization. Their relevance to the primary clinical theme needs clarification.;The specificity level is medium, suggesting potential ambiguity in the diagnosis codes. Further refinement might be needed to ensure accurate targeting.","The aggregate diagnosis distribution shows a concentration in 'R Symptoms/findings' (R53) and 'Z Factors/status' (Z33), along with specific diagnoses like 'E55' (Endocrine), 'R10' (Symptoms related to urinary system), and 'N39' (Urethral disorders). The top diagnoses represent a plausible, albeit broad, set of conditions related to obstetric pregnancy, potentially including complications or related symptoms/findings. The high concentration in R53 warrants careful review to ensure relevance. The cohort appears relatively narrow based on the top diagnoses, but the clinical significance varies. Given the high confidence and narrow cohort, the candidate is eligible for human expert fast-track review.","False","False","False"
